,adult,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
0,False,0,"Drama, Music",en,0.6,,France,1938-10-28,0,90,La Goualeuse,0.0,0
1,False,0,,de,1.371,,,1960-12-16,0,,Immer will ich dir gehören,2.0,1
2,False,0,,en,0.871,,,1965-04-18,0,6,Van Gogh,9.0,1
3,False,0,"Drama, Family, TV Movie",ja,1.493,Nippon Television Network (NTV),Japan,2011-03-30,0,129,Goodbye to Our Kindergarten,8.3,3
4,True,0,,en,0.6,Boy Crush Studios,United States of America,2010-08-01,0,85,Bareback All Stars,0.0,0
5,False,0,Animation,en,0.6,,,2010-04-20,0,23,Entering the Mind Through the Mouth,4.0,1
6,False,0,"Music, Documentary",en,0.914,HBO,United States of America,1986-05-17,0,90,Liza in London,0.0,0
7,False,0,"War, Documentary",en,0.6,,,1945-01-01,0,,6th Marine Division on Okinawa,0.0,0
8,False,0,"Drama, Crime",en,0.964,"Monogram Pictures, King Brothers Productions",United States of America,1942-06-26,0,67,Rubber Racketeers,4.5,2
9,False,0,"Mystery, Crime",en,0.6,"Producers Releasing Corporation (PRC), M & A Alexander Productions Inc.",United States of America,1942-01-09,0,63,Today I Hang,0.0,0
10,False,0,,en,0.632,,,2015-10-16,0,95,Homemakers,3.0,1
11,False,0,"Crime, Drama, Western",en,0.623,,,2008-09-12,0,98,Blood Loss,2.0,1
12,False,0,Adventure,en,0.873,,,2008-05-22,0,,Thunder Over Reno,2.0,1
13,False,0,"Family, Drama, Comedy",es,1.324,Filmadora Chapultepec,Mexico,1979-10-18,0,84,The Girl with the Blue Backpack,4.0,4
14,False,0,,en,0.661,,,1993-04-01,0,85,In Calabria,8.0,1
15,False,0,,en,0.932,,,2006-04-01,0,100,Letters from Sahara,6.0,3
16,False,0,"Thriller, Drama",fa,0.6,"Silkroad Production, Lissar Film Group","Iran, France",2001-04-01,0,135,Killing Mad Dogs,6.0,1
17,False,0,"Adventure, Action",en,0.7,RKO Radio Pictures,United States of America,1936-12-04,0,66,Wanted: Jane Turner,6.0,1
18,False,0,"Fantasy, Drama",fa,1.89,,Iran,1979-04-01,0,110,Ballad of Tara,6.3,4
19,False,2000000,"Family, Fantasy, Action, Adventure",th,1.204,Lionheart Pictures,Thailand,2009-04-23,0,74,The Scout,5.5,1
20,False,0,"Horror, Drama",en,0.6,Phranakorn Film,Thailand,2009-04-23,0,83,VDO Clip,5.0,1
21,False,0,"Animation, Family, Adventure",ja,0.62,,Japan,1979-03-17,0,107,"Heidi, Girl of the Alps",8.0,1
22,False,0,Horror,en,0.878,Phranakorn Film,Thailand,2010-04-23,0,73,Unforgotten Love,6.0,1
23,False,0,Documentary,en,0.6,Shoot First Inc.,United States of America,2008-07-04,0,100,Free for All!,0.0,0
24,False,0,Documentary,en,0.6,Catalyst Films International,United States of America,2007-09-14,0,84,Toots,0.0,0
25,False,0,Documentary,en,0.664,,,1994-03-09,0,80,Starting Place,0.0,0
26,False,0,History,fa,1.4,,Iran,1982-04-01,0,120,Death of Yazdgerd,8.8,3
27,False,0,"Animation, Drama, History",en,0.6,"ASIA Documentary Productions, Himeyuri Alumnae Incorporated Foundation",Japan,2012-06-23,0,31,Himeyuri,0.0,0
28,False,0,Documentary,pt,0.6,,Brazil,2007-01-01,0,,Deixa Que Eu Falo,0.0,0
29,False,0,Documentary,fr,0.698,"Belvision, Pierre Films, Rova Film","France, Belgium",1976-01-01,0,51,"I, Tintin",1.0,1
30,False,0,"Drama, Fantasy, Mystery",uk,0.84,Dovzhenko Film Studios,Soviet Union,1968-12-25,0,71,The Eve of Ivan Kupalo,8.0,4
31,False,0,,en,0.626,,,1976-04-01,0,140,Stranger and the Fog,0.0,0
32,False,0,"Comedy, Music",pt,0.6,Cinedistri,Brazil,1961-09-12,0,,Três Colegas de Batina,4.0,1
33,False,0,Drama,fa,0.772,Misaghye Studio,Iran,1972-04-01,0,107,The Postman,7.8,4
34,False,0,,pt,0.6,,,1974-01-01,0,70,"Adeus, Até ao Meu Regresso",0.0,0
35,False,0,"Music, Drama",fa,1.53,,Iran,2007-04-01,0,107,The Music Man,7.9,10
36,False,0,Drama,en,0.986,,United States of America,2014-04-18,0,95,Fray,5.4,4
37,False,0,"Drama, Comedy",fa,0.654,,Iran,1987-02-01,0,109,The Tenants,5.0,1
38,False,0,Comedy,el,1.4,Athens Film Company,Greece,1959-01-01,0,84,Marriage Adventures,6.0,3
39,False,0,Drama,hr,0.986,"Jadran Film, Croatia Film",Croatia,1978-01-01,0,108,The Last Mission of Demolitions Man Cloud,5.0,1
40,False,0,Comedy,en,0.917,Karagiannis-Karatzopoulos,Greece,1967-01-01,0,92,The Big Fool,6.0,1
41,False,0,"Comedy, Music, Romance",el,1.94,Finos Film,Greece,1964-01-13,0,105,Something Hot,7.6,6
42,False,0,Documentary,en,1.687,,,2014-04-23,0,62,Gaming in Color,5.3,6
43,False,0,"Family, Romance, TV Movie",de,0.664,"ARD/Degeto Film, Studio Hamburg Filmproduktion",Germany,2005-09-09,0,,Liebe wie am ersten Tag,5.0,1
44,False,0,Comedy,el,0.6,Elkin Film,Greece,1958-11-10,0,83,Every Cloud Has a Silver Lining,6.0,1
45,False,0,Comedy,en,0.623,London Weekend Television (LWT),United Kingdom,1979-04-08,0,30,Canned Laughter,9.5,1
46,False,0,,de,0.6,,,1963-02-27,0,,Liebe will gelernt sein,0.0,0
47,False,0,Documentary,en,0.957,National Film Board of Canada,Canada,2014-04-27,0,88,"Out of Mind, Out of Sight",5.0,1
48,False,0,,de,1.091,,,1934-12-21,0,,"Liebe, Tod und Teufel",0.0,0
49,False,0,"Documentary, Music",en,0.873,,,,0,70,Led Zeppelin - The Untold Story,5.0,1
50,False,0,Comedy,de,0.699,,,1932-11-06,0,,Das Lied einer Nacht,7.0,1
51,False,0,,en,0.6,Copy-It-Right,United States of America,1974-04-23,0,9,Stuck,0.0,0
52,False,0,Music,de,1.4,,,1963-05-29,0,,Lieder klingen am Lago Maggiore,0.0,0
53,False,0,,en,0.6,Copy-It-Right,United States of America,1977-04-23,0,15,New York Moscow Video Express,0.0,0
